Created By Broughy1322,,"This sheet contains actual vehicle attributes taken directly from the game code. The most important attributes to vehicle performance are shown in an easy to read & understand format, but for the full story please see ""Handling Data (Full)"" sheet.",,,,,,,,,,,,,,,
Class,Vehicle,Speed,,,,,Acceleration,,,,,Braking,,Traction,,,Collisions
,,Engine (Stock),Max Upgrade,Engine (Maxed),Drag,Max Speed,Drivetrain,Power To Front,Gears,Upshift Rate,Downshift Rate,Brake Force,Brake Bias,Maximum Grip,Minimum Grip,Off-Road Grip Loss,Weight (kg)
Commercial,Benson,0.16,-,-,6,130,AWD,50%,5,0.9,0.9,0.25,0.65,1.75,1.55,0.9,"7,000"
Commercial,Biff,0.12,-,-,4,110,RWD,0%,5,1.3,1.3,0.3,0.6,1.65,1.45,0.5,"9,000"
Commercial,Cerberus,0.19,100,0.228,8,122,RWD,0%,3,1.8,1.8,0.25,0.65,1.7,1.5,0.6,"6,500"
Commercial,Hauler,0.16,-,-,12,115,RWD,0%,5,1.3,1.3,0.8,0.45,1.55,1.35,1,"9,000"
Commercial,Hauler Custom,0.32,100,0.384,13,130,RWD,0%,5,3,3,0.85,0.5,1.95,1.75,1,"11,000"
Commercial,Mule,0.11,-,-,6,100,RWD,0%,5,1.3,1.3,0.25,0.6,1.5,1.3,1,"5,500"
Commercial,Mule (Armored),0.17,-,-,10,100,RWD,0%,5,1.3,1.3,0.25,0.6,1.5,1.3,1,"12,500"
Commercial,Mule Custom,0.11,100,0.132,6,100,RWD,0%,5,1.3,1.3,0.25,0.6,1.5,1.3,1,"6,000"
Commercial,Packer,0.21,-,-,10,120,RWD,0%,5,1.2,1.2,0.8,0.45,1.55,1.35,1,"12,000"
Commercial,Phantom,0.21,-,-,12,123,RWD,0%,5,1.3,1.3,0.8,0.45,1.65,1.55,1,"12,000"
Commercial,Phantom Custom,0.3,100,0.360,12,130,RWD,0%,5,3.3,3.3,0.85,0.45,2.05,1.95,1,"12,000"
Commercial,Phantom Wedge,0.3,-,-,11,130,RWD,0%,5,3.3,3.3,0.85,0.45,1.95,1.75,1,"14,000"
Commercial,Pounder,0.14,-,-,6,120,RWD,0%,4,1.3,1.3,0.25,0.65,1.65,1.45,0.9,"5,500"
Commercial,Pounder Custom,0.16,100,0.192,6,120,RWD,0%,4,1.8,1.8,0.25,0.65,1.5,1.35,0.9,"5,500"
Commercial,Stockade,0.12,-,-,4,120,RWD,0%,5,1.3,1.3,0.25,0.68,1.65,1.4,1,"6,500"
Commercial,Terrorbyte,0.16,100,0.192,10,120,RWD,0%,6,2.3,2.3,0.25,0.65,1.95,1.65,0.9,"10,000"
Compacts,Asbo,0.234,180,0.318,10.5,126,FWD,100%,5,3.9,3.9,0.47,0.65,1.92,1.73,1,"1,030"
Compacts,Blista,0.23,100,0.276,8,135,FWD,100%,5,1.7,1.7,0.6,0.65,2.05,1.75,1,"1,200"
Compacts,Blista Kanjo,0.32,180,0.435,11.35,140,FWD,100%,5,3.9,3.9,0.5,0.65,1.97,1.72,1,"1,150"
Compacts,Brioso 300,0.179,100,0.215,10,115,RWD,0%,4,2.3,2.3,0.25,0.51,1.885,1.825,0.8,650
Compacts,Brioso 300 Widebody,0.216,150,0.281,9.8,124,RWD,0%,4,3.2,3.2,0.25,0.52,1.995,1.885,0.8,650
Compacts,Brioso R/A,0.29,100,0.348,11.6,135,AWD,50%,6,3.8,3.8,0.6,0.8,2.3,2.05,0.8,850
Compacts,Brioso R/A (HSW),0.29,123,0.361,11.6,135,AWD,50%,6,3.8,3.8,0.6,0.8,2.3,2.05,0.8,850
Compacts,Club,0.2375,180,0.323,8.5,140,FWD,100%,4,3.2,4,0.72,0.6,2.05,1.85,0.4,950
Compacts,Dilettante,0.1,100,0.120,8.5,130,FWD,100%,1,1.3,1.3,0.6,0.65,1.76,1.63,1,"1,400"
Compacts,Dilettante (Patrol),0.1,-,-,8.5,130,FWD,100%,1,1.3,1.3,0.6,0.65,1.76,1.63,1,"1,400"
Compacts,Issi,0.23,100,0.276,8,135,FWD,100%,5,1.8,1.8,0.6,0.65,2.05,1.75,1,"1,200"
Compacts,Issi (Arena),0.34,140,0.435,12,140,RWD,0%,4,2.3,2.6,0.4,0.7,2,1.85,0.4,"1,200"
Compacts,Issi Classic,0.26,200,0.364,11,125,FWD,100%,4,1.6,1.6,0.3,0.7,2,1.8,0.3,650
