Created By Broughy1322,,"Ordered by class, then race tier where applicable, then lap time. More info -> https://broughy.com/cartesting",,,,,,
Class,Vehicle,Tier,Lap Time (m:ss.000),Lap Time Position,,Top Speed (mph),Top Speed Position,
,,,,In Class,Overall,,In Class,Overall
Commercial,Hauler Custom,-,1:18.434,1,513,101.25,3,476
Commercial,Phantom Custom,-,1:19.283,2,525,103.5,2,450
Commercial,Phantom Wedge,-,1:20.080,3,534,98.25,4,524
Commercial,Cerberus,-,1:25.602,4,579,106.25,1,411
Commercial,Terrorbyte,-,1:28.841,5,591,87.5,7,586
Commercial,Benson,-,1:32.309,6,601,91.75,6,563
Commercial,Pounder Custom,-,1:32.826,7,602,95.25,5,550
Commercial,Phantom,-,1:34.595,8,603,83.25,12,606
Commercial,Stockade,-,1:37.814,9,608,85.75,9,595
Commercial,Packer,-,1:38.031,10,610,85.75,10,596
Commercial,Mule Custom,-,1:40.017,11,616,76.5,13,621
Commercial,Biff,-,1:41.835,12,621,85.25,11,597
Commercial,Mule (Armored),-,1:43.770,13,625,72.5,15,626
Commercial,Hauler,-,1:44.188,14,629,74.5,14,622
Commercial,Pounder,-,1:46.940,15,638,86.75,8,590
Commercial,Mule,-,1:50.294,16,643,71,16,633
Compacts,Brioso R/A (HSW),S,1:05.383,1,209,132.5,1,39
Compacts,Club,S,1:06.600,2,252,112.5,2,330
Compacts,Brioso R/A,A,1:10.436,3,350,103.75,7,444
Compacts,Blista Kanjo,B,1:13.473,4,426,108.75,3,379
Compacts,Rhapsody,C,1:14.056,5,433,103,8,452
Compacts,Panto,C,1:14.057,6,434,100.75,10,485
Compacts,Weevil,D,1:15.642,7,467,102.5,9,458
Compacts,Blista,D,1:15.993,8,473,105,5,432
Compacts,Brioso 300 Widebody,E,1:16.442,9,484,96,12,542
Compacts,Prairie,E,1:16.476,10,485,104,6,441
Compacts,Issi,E,1:16.542,11,488,105.5,4,422
Compacts,Asbo,E,1:17.010,12,495,96.5,11,537
Compacts,Issi Classic,F,1:18.695,13,516,94.75,13,552
Compacts,Dilettante,G,1:22.165,14,548,88.5,14,583
Compacts,Brioso 300,G,1:23.950,15,566,86,15,593
Compacts (NR),Issi (Arena),-,1:07.368,1,268,124.25,1,114
Compacts (NR),Dilettante (Patrol),-,1:23.667,2,563,85.75,2,594
Coupes,Euros X32 (HSW),S,1:03.496,1,128,131,2,47
Coupes,FR36,S,1:04.214,2,162,121.5,3,159
Coupes,Previon,A,1:04.731,3,180,115.25,12,284
Coupes,Sentinel XS (HSW),A,1:05.478,4,213,136.5,1,28
Coupes,Zion,B,1:06.512,5,245,118,7,236
Coupes,Zion Cabrio,B,1:06.528,6,246,118,8,237
Coupes,Felon,B,1:06.788,7,257,114.75,13,291
Coupes,Euros X32,C,1:07.400,8,269,113,16,320
Coupes,Exemplar,C,1:07.552,9,278,117.5,9,246
Coupes,Jackal,C,1:07.632,10,280,114.5,15,296
Coupes,Sentinel XS,D,1:09.119,11,313,116,10,276
Coupes,Cognoscenti Cabrio,E,1:10.120,12,339,112.75,17,327
Coupes,F620,E,1:10.270,13,344,118.25,5,232
Coupes,Felon GT,F,1:10.654,14,353,111,19,352
Coupes,Sentinel,F,1:10.787,15,360,112.5,18,335
Coupes,Oracle,F,1:11.021,16,366,115.5,11,283
Coupes,Oracle XS,G,1:11.822,17,387,114.75,14,294
Coupes,Windsor,G,1:11.938,18,391,118.5,4,225
Coupes,Kanjo SJ,G,1:12.322,19,402,107.25,20,398
Coupes,Windsor Drop,G,1:12.359,20,405,118.25,6,234
Coupes,Postlude,H,1:14.541,21,445,103,21,453
Emergency,Buffalo STX Pursuit,-,1:02.145,1,92,128.75,3,56
Emergency,Police Bike (2025),-,1:02.497,2,100,156.75,1,7
Emergency,Coquette D10 Pursuit,-,1:02.796,3,105,133.75,2,37
Emergency,Dominator FX Interceptor,-,1:03.664,4,131,124,4,115
Emergency,Terminus Patrol,-,1:03.964,5,147,119.5,7,201
Emergency,Gauntlet Interceptor,-,1:04.814,6,187,122,5,153
Emergency,Buffalo Cruiser,-,1:05.165,7,197,116.5,10,261
Emergency,Impaler SZ Cruiser,-,1:06.383,8,238,118.25,8,231
Emergency,Impaler LX Cruiser,-,1:07.351,9,266,117,9,252
Emergency,Caracara Pursuit,-,1:09.070,10,312,104.75,18,433
Emergency,Police Bike (2013),-,1:09.553,11,324,100.5,25,487
Emergency,Greenwood Cruiser,-,1:09.669,12,328,121.5,6,162
Emergency,Outreach Faction,-,1:09.753,13,329,114.75,11,293
Emergency,Stanier LE Cruiser,-,1:09.820,14,331,114.25,12,300
Emergency,Dorado Cruiser,-,1:10.269,15,343,112.75,13,328
Emergency,Police Cruiser (Interceptor),-,1:10.370,16,349,110,15,364
Emergency,Unmarked Cruiser,-,1:11.572,17,382,111,14,354
Emergency,FIB (Buffalo),-,1:13.106,18,419,107,16,401
Emergency,Police Cruiser (Buffalo),-,1:13.371,19,423,106.5,17,407
Emergency,Police Cruiser (Stanier),-,1:15.502,20,464,102.75,20,456
