Created By Broughy1322,,"This sheet contains a variety of useful information about all vehicles in GTA 5, such as prices, numbers of seats, where they can be bought, etc. This does not focus on vehicle performance and is primarily for information.",,,,,,,,,,,,,,,,,,,
Class,Vehicle,Key Attributes,,,Performance Improvements,,,,Acquiring,,,Storing & Upgrading,,Race Availability,,,Added To GTA,,,Model IDs,Notes
,,Drivetrain,Seats,Manufacturer,Spoiler,Off-Roads,Suspension,Boost,Source,Cost,Where/Last Available,Storage Location,Upgrade Location,Regular,Transform,Random,Date,Year,DLC,,
Boats,Avisa,RWD,4,Kraken,,,,,Submarine,"1,545,000",Listed Source,Submarine,-,,,,15/12,2020,Cayo Perico Heist,avisa,
Boats,Dinghy (2 Seats),RWD,2,Nagasaki,,,,,-,-,-,-,-,✔,✔,✔,17/09,2013,-,dinghy2,Only available in Sea races
Boats,Dinghy (4 Seats),RWD,4,Nagasaki,,,,,DockTease,"166,250",Main Page,Pegasus,-,,✔,✔,17/09,2013,-,"dinghy, dinghy3, dinghy4",
Boats,Jetmax,RWD,2,Shitzu,,,,,DockTease,"299,000",Main Page,Pegasus,-,✔,,,17/09,2013,-,jetmax,
Boats,Kosatka,RWD,1,RUNE,,,,,Warstock,"2,200,000",Main Page,Submarine,-,,,,15/12,2020,Cayo Perico Heist,kosatka,
Boats,Kraken,RWD,1,Kraken,,,,,DockTease,"1,325,000",Main Page,Pegasus,-,,,,18/11,2014,Enhanced Edition,submersible2,
Boats,Kurtz 31 Patrol Boat,RWD,4,-,,,,,Warstock,"1,840,000",Main Page,Pegasus,-,,,,15/12,2020,Cayo Perico Heist,patrolboat,
Boats,Longfin,RWD,4,Shitzu,,,,,DockTease,"2,125,000",Main Page,Pegasus,-,✔,✔,✔,15/12,2020,Cayo Perico Heist,longfin,
Boats,Marquis,RWD,4,Dinka,,,,,DockTease,"413,990",Main Page,Pegasus,-,,✔,✔,17/09,2013,-,marquis,
Boats,Police Predator,RWD,4,-,,,,,Warstock,"3,780,000",Main Page,Pegasus,-,,✔,,17/09,2013,-,predator,Made available to purchase online with Agents Of Sabotage update
Boats,Seashark,RWD,2,Speedophile,,,,,DockTease,"16,889",Main Page,Pegasus,-,✔,✔,✔,17/09,2013,-,"seashark, seashark2, seashark3",
Boats,Speeder,RWD,4,Pegassi,,,,,DockTease,"325,000",Main Page,Pegasus,-,✔,✔,✔,19/11,2013,Beach Bum,"speeder, speeder2",
Boats,Squalo,RWD,2,Shitzu,,,,,DockTease,"196,621",Main Page,Pegasus,-,✔,,,17/09,2013,-,squalo,
Boats,Submersible,RWD,1,-,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,submersible,
Boats,Suntrap,RWD,4,Shitzu,,,,,DockTease,"25,160",Main Page,Pegasus,-,✔,✔,✔,17/09,2013,-,suntrap,
Boats,Toro,RWD,4,Lampadati,,,,,DockTease,"1,750,000",Main Page,Pegasus,-,✔,✔,✔,08/07,2015,Ill-Gotten Gains Part 2,"toro, toro2",
Boats,Tropic,RWD,4,Shitzu,,,,,DockTease,"22,000",Main Page,Pegasus,-,✔,✔,✔,17/09,2013,-,"tropic, tropic2",
Boats,Tug,RWD,1,Buckingham,,,,,DockTease,"1,250,000",Main Page,Pegasus,-,,✔,✔,07/06,2016,Finance and Felony,tug,
Boats,Weaponized Dinghy,RWD,5,Nagasaki,,,,,Warstock,"1,850,000",Main Page,Pegasus,-,,,,25/02,2021,Cayo Perico Heist,dinghy5,
Commercial,Benson,AWD,2,Vapid,,,,,Warstock,"685,000",Main Page,Pegasus,-,✔,✔,✔,17/09,2013,-,"benson, benson2",Cluckin' Bell variant purchasable as of Chop Shop update with identical performance to regular version
Commercial,Biff,RWD,2,HVY,,,,,-,-,-,-,-,,,,17/09,2013,-,biff,
Commercial,Cerberus,RWD,2,MTL,,,,✔,ArenaWar,"3,870,300",Arena Ready Tab,Arena,Property,,,✔,11/12,2018,Arena War,"cerberus, cerberus2, cerberus3",
Commercial,Hauler,RWD,2,Jobuilt,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,hauler,
Commercial,Hauler Custom,RWD,2,Jobuilt,,,,,MOC,"1,400,000",Listed Source,Bunker,Property,,,,13/06,2017,Gunrunning,hauler2,Only available with a Mobile Operations Center
Commercial,Mule,RWD,6,Maibatsu,,,,,Warstock,"27,000",Main Page,Pegasus,-,,✔,✔,17/09,2013,-,"mule, mule2",
Commercial,Mule (Armored),RWD,6,Maibatsu,,,,,Warstock,"43,225",Main Page,Pegasus,-,✔,✔,✔,10/03,2015,Heists,"mule3, mule5",
